weather_severity,nas_congestion,carrier_issues,late_aircraft,season,airport,airline,delay_minutes,is_delayed
0.3537,0.2537,0.4765,0,winter,ORD,Delta,63.9,1
0.2486,0.505,0.2212,1,winter,ATL,Southwest,79.9,1
0.416,0.5721,0.1941,0,spring,ORD,JetBlue,54.5,1
0.16,0.3759,0.3632,1,summer,JFK,United,74.3,1
0.5503,0.5156,0.0754,0,summer,BOS,Delta,73.1,1
0.1109,0.2623,0.4462,0,spring,BOS,Southwest,31.8,1
0.5099,0.5814,0.1117,0,fall,ATL,Southwest,54.6,1
0.1773,0.2322,0.1337,0,spring,JFK,American,25.8,1
0.1983,0.4875,0.1521,1,spring,DFW,JetBlue,76.1,1
0.3762,0.1744,0.3041,0,fall,ATL,United,37.3,1
0.5435,0.4991,0.2679,1,winter,BOS,Delta,106.8,1
0.0848,0.1971,0.1641,1,summer,SEA,Southwest,59.2,1
0.3579,0.0579,0.2182,0,summer,JFK,Southwest,25.2,1
0.2733,0.2366,0.2038,1,spring,LAX,United,32.6,1
0.1344,0.7779,0.4283,0,spring,LAX,Delta,50.4,1
0.3533,0.5176,0.1164,0,summer,ORD,Southwest,62.4,1
0.1328,0.6615,0.3237,0,summer,SEA,Southwest,39.4,1
0.3264,0.2411,0.3432,0,summer,LAX,United,46.7,1
0.1658,0.4066,0.2197,0,spring,JFK,United,48.6,1
0.2077,0.2831,0.3226,0,spring,SEA,American,19.4,1
0.2634,0.3268,0.1901,1,spring,BOS,JetBlue,52.4,1
0.39,0.5541,0.0732,1,spring,ATL,American,78.8,1
0.1536,0.5297,0.3269,1,fall,ORD,JetBlue,64.4,1
0.3055,0.6202,0.3673,1,fall,BOS,JetBlue,76.5,1
0.2033,0.4029,0.3333,1,winter,SEA,Delta,70.5,1
0.1839,0.7928,0.2319,0,winter,ORD,American,59.6,1
0.3678,0.517,0.5584,0,winter,BOS,Delta,55.7,1
0.2021,0.3744,0.039,0,winter,DFW,United,31.1,1
0.1863,0.1954,0.2744,0,summer,ORD,United,34.9,1
0.2835,0.4955,0.18,0,winter,DFW,JetBlue,57.0,1
0.1004,0.235,0.2829,0,summer,BOS,Southwest,16.1,1
0.2077,0.2832,0.1215,1,summer,LAX,JetBlue,46.3,1
0.3096,0.6417,0.1898,0,winter,LAX,JetBlue,63.1,1
0.0444,0.3263,0.3299,1,spring,LAX,Delta,39.4,1
0.1246,0.5084,0.4697,0,spring,SEA,JetBlue,33.4,1
0.211,0.4257,0.2439,1,fall,ORD,United,79.6,1
0.3582,0.3138,0.266,0,fall,JFK,American,39.0,1
0.6522,0.409,0.3325,0,summer,SEA,JetBlue,60.3,1
0.1623,0.5951,0.1931,0,spring,DFW,United,43.1,1
0.0694,0.1071,0.1827,1,spring,DFW,JetBlue,43.3,1
0.0768,0.2735,0.0227,0,summer,ORD,Southwest,25.4,1
0.1744,0.5596,0.3036,0,spring,JFK,United,48.8,1
0.5435,0.3113,0.5253,1,winter,ORD,JetBlue,96.7,1
0.0617,0.1278,0.2946,0,spring,DFW,Southwest,30.5,1
0.2357,0.439,0.133,0,fall,JFK,Delta,46.7,1
0.3133,0.5461,0.0744,0,spring,LAX,United,36.3,1
0.1526,0.2607,0.2639,0,summer,BOS,Southwest,30.4,1
0.3869,0.2262,0.2924,0,fall,LAX,United,30.8,1
0.4846,0.496,0.2821,0,summer,BOS,United,67.3,1
0.0959,0.4438,0.0413,0,spring,LAX,Delta,25.3,1
0.3662,0.207,0.0386,1,winter,ATL,JetBlue,69.7,1
0.2984,0.5983,0.0235,0,winter,ATL,Delta,66.8,1
0.2238,0.4167,0.0769,0,summer,LAX,United,40.0,1
0.1643,0.2813,0.3177,1,summer,DFW,Delta,50.3,1
0.4614,0.6318,0.2284,0,spring,JFK,Southwest,56.8,1
0.0983,0.6541,0.1375,0,winter,DFW,JetBlue,43.6,1
0.1792,0.4461,0.3065,0,summer,SEA,JetBlue,44.8,1
0.343,0.1831,0.2394,0,summer,ATL,JetBlue,55.7,1
0.2747,0.6861,0.2407,1,winter,JFK,United,82.3,1
0.4433,0.7612,0.0347,0,winter,BOS,United,83.0,1
0.1327,0.5486,0.188,1,spring,JFK,JetBlue,62.9,1
0.4006,0.5421,0.6101,0,summer,ORD,Delta,87.8,1
0.3226,0.2525,0.284,1,winter,LAX,JetBlue,67.0,1
0.2924,0.3891,0.4775,0,spring,DFW,United,58.5,1
0.1136,0.1703,0.6121,1,winter,JFK,Delta,79.5,1
0.3416,0.5324,0.2996,0,spring,BOS,American,58.2,1
0.17,0.5539,0.4524,0,summer,BOS,Delta,44.2,1
0.8015,0.3478,0.1586,0,spring,JFK,United,62.5,1
0.1318,0.4675,0.1215,0,fall,SEA,Delta,21.8,1
0.1255,0.4962,0.4667,0,fall,ORD,Southwest,43.1,1
0.337,0.5623,0.156,0,spring,LAX,United,40.4,1
0.0344,0.3325,0.1809,1,summer,LAX,JetBlue,64.9,1
0.1594,0.1008,0.2331,0,winter,ATL,United,19.9,1
0.2615,0.4181,0.106,0,summer,DFW,Delta,40.0,1
0.2491,0.4949,0.2686,0,winter,SEA,American,54.0,1
0.0686,0.5099,0.2634,0,summer,BOS,JetBlue,40.1,1
0.4595,0.1512,0.1856,1,winter,DFW,Delta,89.7,1
0.5415,0.637,0.2326,0,spring,ORD,Delta,60.8,1
0.2606,0.6145,0.1126,0,winter,ORD,Delta,50.4,1
0.0675,0.4025,0.2031,0,summer,ORD,Delta,25.8,1
0.0468,0.3084,0.2708,1,winter,BOS,American,64.2,1
0.1271,0.5033,0.5276,0,fall,BOS,United,52.8,1
0.3266,0.4897,0.3563,1,winter,LAX,American,99.2,1
0.1191,0.0557,0.1923,0,spring,JFK,United,0.5,0
0.1078,0.5446,0.073,0,summer,JFK,JetBlue,43.4,1
0.3246,0.2025,0.2058,1,winter,JFK,Delta,72.2,1
0.2194,0.3978,0.4139,0,spring,DFW,Delta,27.2,1
0.3048,0.5061,0.3,0,spring,JFK,Delta,55.0,1
0.4037,0.6622,0.4046,0,summer,DFW,Southwest,71.9,1
0.1841,0.1994,0.3453,1,summer,ATL,Delta,50.7,1
0.2345,0.3039,0.1231,0,fall,BOS,Southwest,34.0,1
0.1751,0.347,0.1094,0,spring,ATL,American,21.4,1
0.2673,0.5331,0.1077,0,winter,JFK,United,60.7,1
0.2387,0.6722,0.3112,0,summer,BOS,Southwest,67.4,1
0.3258,0.1936,0.1778,1,winter,ATL,American,60.9,1
0.4435,0.4731,0.4339,0,spring,BOS,JetBlue,66.5,1
0.3856,0.1613,0.2868,0,fall,BOS,United,24.3,1
0.0962,0.3808,0.231,0,summer,ORD,Southwest,36.2,1
0.209,0.4123,0.2737,0,fall,BOS,American,39.4,1
0.1662,0.449,0.0933,1,summer,ATL,JetBlue,57.9,1
0.2272,0.3117,0.0875,0,spring,ORD,United,30.4,1
0.4759,0.2603,0.5695,0,winter,ATL,Southwest,82.3,1
0.1159,0.1179,0.1478,0,winter,SEA,United,0.0,0
0.1719,0.3548,0.246,1,winter,JFK,United,79.2,1
0.2409,0.2294,0.6627,0,summer,JFK,JetBlue,35.7,1
0.1966,0.3403,0.3063,0,summer,ORD,Southwest,55.3,1
0.1545,0.4165,0.1508,1,spring,BOS,JetBlue,66.1,1
0.3025,0.5351,0.3217,1,fall,ATL,JetBlue,77.9,1
0.2629,0.5381,0.3489,0,fall,SEA,United,56.9,1
0.1784,0.6066,0.1678,0,winter,ORD,Delta,50.9,1
0.0714,0.4242,0.4967,0,spring,SEA,Delta,39.0,1
0.368,0.638,0.1935,0,spring,ORD,JetBlue,61.4,1
0.165,0.3841,0.0867,0,winter,LAX,Southwest,34.5,1
0.6464,0.483,0.2162,1,summer,LAX,United,101.2,1
0.5031,0.2587,0.0622,0,fall,BOS,JetBlue,43.4,1
0.4086,0.4693,0.4045,0,spring,ORD,Southwest,57.9,1
0.3785,0.334,0.4274,0,winter,SEA,Delta,57.8,1
0.4808,0.6565,0.0613,0,winter,DFW,JetBlue,70.6,1
0.4502,0.7274,0.3114,0,summer,JFK,American,73.7,1
0.3149,0.3452,0.2377,0,summer,JFK,JetBlue,54.2,1
0.3458,0.4383,0.1258,1,spring,BOS,Southwest,79.4,1
0.5387,0.3889,0.5056,1,summer,BOS,Southwest,113.1,1
0.3062,0.3926,0.0821,1,spring,BOS,JetBlue,57.4,1
0.1456,0.4196,0.0864,0,spring,JFK,American,41.9,1
0.4519,0.4546,0.1404,0,winter,BOS,Delta,67.1,1
0.3599,0.2898,0.1663,0,spring,BOS,American,36.9,1
0.0619,0.6684,0.1705,0,fall,JFK,American,51.5,1
0.2329,0.2999,0.4666,1,fall,SEA,Southwest,62.8,1
0.1921,0.2303,0.4219,0,winter,LAX,JetBlue,36.2,1
0.5199,0.5491,0.2507,0,fall,LAX,American,54.7,1
0.2202,0.7381,0.2399,0,winter,SEA,JetBlue,50.9,1
0.1377,0.5143,0.1193,0,summer,ORD,American,53.1,1
0.472,0.2442,0.0515,0,spring,DFW,United,39.5,1
0.1588,0.54,0.5861,0,summer,BOS,Southwest,60.2,1
0.0597,0.4665,0.119,0,summer,ORD,American,47.9,1
0.3408,0.3907,0.3055,0,spring,DFW,United,38.9,1
0.3066,0.0722,0.2072,0,winter,SEA,Southwest,54.8,1
0.279,0.268,0.1147,0,winter,ATL,Southwest,40.8,1
0.3288,0.2462,0.1546,0,winter,SEA,JetBlue,45.9,1
