user_id,match_rate,preferred
0,0.6,"[np.str_('Comedy'), np.str_('Action')]"
1,1.0,"[np.str_('Romance'), np.str_('Drama')]"
2,0.7,"[np.str_('Comedy'), np.str_('Animation')]"
3,0.7,"[np.str_('Romance'), np.str_('Animation')]"
4,1.0,"[np.str_('Documentary'), np.str_('Animation')]"
5,0.5,"[np.str_('Comedy'), np.str_('Action')]"
6,0.9,"[np.str_('Comedy'), np.str_('Drama')]"
7,1.0,"[np.str_('Action'), np.str_('Thriller')]"
8,0.8,"[np.str_('Documentary'), np.str_('Action')]"
9,0.7,"[np.str_('Action'), np.str_('Thriller')]"
10,0.6,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
11,0.9,"[np.str_('Documentary'), np.str_('Comedy')]"
12,0.8,"[np.str_('Romance'), np.str_('Animation')]"
13,0.9,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
14,0.7,"[np.str_('Sci-Fi'), np.str_('Animation')]"
15,0.9,"[np.str_('Thriller'), np.str_('Animation')]"
16,1.0,"[np.str_('Comedy'), np.str_('Animation')]"
17,0.8,"[np.str_('Romance'), np.str_('Animation')]"
18,1.0,"[np.str_('Documentary'), np.str_('Thriller')]"
19,0.8,"[np.str_('Romance'), np.str_('Sci-Fi')]"
20,0.8,"[np.str_('Thriller'), np.str_('Animation')]"
21,0.7,"[np.str_('Comedy'), np.str_('Romance')]"
22,0.8,"[np.str_('Documentary'), np.str_('Romance')]"
23,0.9,"[np.str_('Romance'), np.str_('Drama')]"
24,1.0,"[np.str_('Comedy'), np.str_('Drama')]"
25,0.5,"[np.str_('Action'), np.str_('Thriller')]"
26,0.7,"[np.str_('Romance'), np.str_('Sci-Fi')]"
27,0.7,"[np.str_('Sci-Fi'), np.str_('Animation')]"
28,1.0,"[np.str_('Documentary'), np.str_('Comedy')]"
29,0.6,"[np.str_('Action'), np.str_('Sci-Fi')]"
30,0.8,"[np.str_('Romance'), np.str_('Thriller')]"
31,0.8,"[np.str_('Comedy'), np.str_('Sci-Fi')]"
32,0.7,"[np.str_('Comedy'), np.str_('Sci-Fi')]"
33,1.0,"[np.str_('Thriller'), np.str_('Animation')]"
34,0.7,"[np.str_('Sci-Fi'), np.str_('Animation')]"
35,0.5,"[np.str_('Comedy'), np.str_('Romance')]"
36,0.8,"[np.str_('Documentary'), np.str_('Romance')]"
37,0.7,"[np.str_('Romance'), np.str_('Animation')]"
38,0.8,"[np.str_('Sci-Fi'), np.str_('Thriller')]"
39,0.7,"[np.str_('Drama'), np.str_('Thriller')]"
40,0.8,"[np.str_('Sci-Fi'), np.str_('Thriller')]"
41,0.5,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
42,0.6,"[np.str_('Documentary'), np.str_('Action')]"
43,0.8,"[np.str_('Romance'), np.str_('Action')]"
44,0.9,"[np.str_('Drama'), np.str_('Animation')]"
45,0.8,"[np.str_('Documentary'), np.str_('Animation')]"
46,0.7,"[np.str_('Sci-Fi'), np.str_('Animation')]"
47,0.3,"[np.str_('Documentary'), np.str_('Animation')]"
48,0.9,"[np.str_('Drama'), np.str_('Sci-Fi')]"
49,0.9,"[np.str_('Documentary'), np.str_('Animation')]"
50,0.4,"[np.str_('Romance'), np.str_('Animation')]"
51,0.4,"[np.str_('Comedy'), np.str_('Romance')]"
52,0.6,"[np.str_('Drama'), np.str_('Animation')]"
53,0.7,"[np.str_('Comedy'), np.str_('Action')]"
54,1.0,"[np.str_('Sci-Fi'), np.str_('Animation')]"
55,0.8,"[np.str_('Drama'), np.str_('Animation')]"
56,0.6,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
57,0.6,"[np.str_('Documentary'), np.str_('Action')]"
58,0.9,"[np.str_('Documentary'), np.str_('Animation')]"
59,0.7,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
60,1.0,"[np.str_('Comedy'), np.str_('Action')]"
61,0.7,"[np.str_('Drama'), np.str_('Sci-Fi')]"
62,1.0,"[np.str_('Sci-Fi'), np.str_('Animation')]"
63,0.8,"[np.str_('Drama'), np.str_('Sci-Fi')]"
64,0.8,"[np.str_('Sci-Fi'), np.str_('Animation')]"
65,0.9,"[np.str_('Romance'), np.str_('Action')]"
66,0.7,"[np.str_('Documentary'), np.str_('Thriller')]"
67,0.7,"[np.str_('Documentary'), np.str_('Action')]"
68,0.9,"[np.str_('Drama'), np.str_('Thriller')]"
69,0.5,"[np.str_('Romance'), np.str_('Drama')]"
70,0.9,"[np.str_('Action'), np.str_('Sci-Fi')]"
71,0.9,"[np.str_('Romance'), np.str_('Action')]"
72,0.9,"[np.str_('Drama'), np.str_('Animation')]"
73,0.9,"[np.str_('Drama'), np.str_('Thriller')]"
74,1.0,"[np.str_('Romance'), np.str_('Drama')]"
75,0.9,"[np.str_('Action'), np.str_('Animation')]"
76,0.4,"[np.str_('Romance'), np.str_('Sci-Fi')]"
77,0.9,"[np.str_('Comedy'), np.str_('Romance')]"
78,0.8,"[np.str_('Romance'), np.str_('Action')]"
79,0.9,"[np.str_('Sci-Fi'), np.str_('Thriller')]"
80,1.0,"[np.str_('Comedy'), np.str_('Thriller')]"
81,1.0,"[np.str_('Action'), np.str_('Animation')]"
82,1.0,"[np.str_('Drama'), np.str_('Sci-Fi')]"
83,0.8,"[np.str_('Action'), np.str_('Sci-Fi')]"
84,0.4,"[np.str_('Romance'), np.str_('Thriller')]"
85,0.7,"[np.str_('Romance'), np.str_('Action')]"
86,0.9,"[np.str_('Comedy'), np.str_('Romance')]"
87,0.6,"[np.str_('Documentary'), np.str_('Romance')]"
88,0.9,"[np.str_('Comedy'), np.str_('Romance')]"
89,0.8,"[np.str_('Romance'), np.str_('Thriller')]"
90,0.5,"[np.str_('Sci-Fi'), np.str_('Animation')]"
91,0.8,"[np.str_('Documentary'), np.str_('Action')]"
92,0.7,"[np.str_('Comedy'), np.str_('Drama')]"
93,0.9,"[np.str_('Action'), np.str_('Sci-Fi')]"
94,0.8,"[np.str_('Documentary'), np.str_('Romance')]"
