keyword,status,jd_frequency
data,matched,5
science,matched,4
financial,matched,4
experience,matched,4
python,matched,3
sql,matched,3
analytics,matched,2
skills,matched,2
models,matched,2
technical,matched,1
using,matched,1
tools,missing,3
team,missing,2
strong,missing,2
machine,missing,2
learning,missing,2
findings,missing,2
visualization,missing,2
knowledge,missing,2
looking,missing,1
join,missing,1
ideal,missing,1
candidate,missing,1
ability,missing,1
communicate,missing,1
non,missing,1
stakeholders,missing,1
responsibilities,missing,1
build,missing,1
maintain,missing,1
predictive,missing,1
forecasting,missing,1
analyze,missing,1
large,missing,1
datasets,missing,1
create,missing,1
automated,missing,1
pipelines,missing,1
reporting,missing,1
dashboards,missing,1
present,missing,1
cross,missing,1
functional,missing,1
teams,missing,1
requirements,missing,1
currently,missing,1
enrolled,missing,1
computer,missing,1
related,missing,1
field,missing,1
